"date","cloud_cover","cloud_cover_percentage"
"2004-01-01",1,100
"2004-01-02",0.937386274337769,93.7386274337769
"2004-01-03",1,100
"2004-01-04",0.775840044021606,77.5840044021606
"2004-01-05",0.869580328464508,86.9580328464508
"2004-01-06",0.996546506881714,99.6546506881714
"2004-01-07",0.986592710018158,98.6592710018158
"2004-01-08",0.999382793903351,99.9382793903351
"2004-01-09",0.905567407608032,90.5567407608032
"2004-01-10",0.751347541809082,75.1347541809082
"2004-01-11",1,100
"2004-01-12",1,100
"2004-01-13",1,100
"2004-01-14",1,100
"2004-01-15",0.611008107662201,61.1008107662201
"2004-01-16",0.99705570936203,99.705570936203
"2004-01-17",0.650195121765137,65.0195121765137
"2004-01-18",0.963864982128143,96.3864982128143
"2004-01-19",1,100
"2004-01-20",1,100
"2004-01-21",0.596900403499603,59.6900403499603
"2004-01-22",0.923805296421051,92.3805296421051
"2004-01-23",0.272476196289062,27.2476196289062
"2004-01-24",0.774368166923523,77.4368166923523
"2004-01-25",0.697808861732483,69.7808861732483
"2004-01-26",1,100
"2004-01-27",1,100
"2004-01-28",1,100
"2004-01-29",0.835684239864349,83.5684239864349
"2004-01-30",0.597970128059387,59.7970128059387
"2004-01-31",0.343199908733368,34.3199908733368
"2004-02-01",0.424498200416565,42.4498200416565
"2004-02-02",1,100
"2004-02-03",0.541480720043182,54.1480720043182
"2004-02-04",0.50358384847641,50.358384847641
"2004-02-05",0.00101742404513061,0.101742404513061
"2004-02-06",0.754641056060791,75.4641056060791
"2004-02-07",0.331664741039276,33.1664741039276
"2004-02-08",0.992572844028473,99.2572844028473
"2004-02-09",0.121317028999329,12.1317028999329
"2004-02-10",1,100
"2004-02-11",0.987206220626831,98.7206220626831
"2004-02-12",0.75161623954773,75.161623954773
"2004-02-13",0.0862603783607483,8.62603783607483
"2004-02-14",0.72711306810379,72.711306810379
"2004-02-15",0.905338108539581,90.5338108539581
"2004-02-16",0.580101430416107,58.0101430416107
"2004-02-17",0.664346516132355,66.4346516132355
"2004-02-18",0.592836976051331,59.2836976051331
"2004-02-19",0.98064249753952,98.064249753952
"2004-02-20",0.0965772271156311,9.65772271156311
"2004-02-21",0.500788986682892,50.0788986682892
"2004-02-22",0.891319096088409,89.1319096088409
"2004-02-23",0.988355398178101,98.8355398178101
"2004-02-24",0.668647050857544,66.8647050857544
"2004-02-25",0.00420740246772766,0.420740246772766
"2004-02-26",0.993237495422363,99.3237495422363
"2004-02-27",0.621782660484314,62.1782660484314
"2004-02-28",0.99530017375946,99.530017375946
"2004-02-29",0.871106147766113,87.1106147766113
"2004-03-01",0.924840092658997,92.4840092658997
"2004-03-02",0.94590550661087,94.590550661087
"2004-03-03",0.181797504425049,18.1797504425049
"2004-03-04",1,100
"2004-03-05",1,100
"2004-03-06",0.99705570936203,99.705570936203
"2004-03-07",0.835281550884247,83.5281550884247
"2004-03-08",0.979088306427002,97.9088306427002
"2004-03-09",0.424141466617584,42.4141466617584
"2004-03-10",0.799049377441406,79.9049377441406
"2004-03-11",0.977961421012878,97.7961421012878
"2004-03-12",1,100
"2004-03-13",0.993148982524872,99.3148982524872
"2004-03-14",1,100
"2004-03-15",0.229085445404053,22.9085445404053
"2004-03-16",0.0613562613725662,6.13562613725662
"2004-03-17",0,0
"2004-03-18",0.94065135717392,94.065135717392
"2004-03-19",0.898312151432037,89.8312151432037
"2004-03-20",1,100
"2004-03-21",0.989831686019897,98.9831686019897
"2004-03-22",0.714989423751831,71.4989423751831
"2004-03-23",1,100
"2004-03-24",1,100
"2004-03-25",0.997455954551697,99.7455954551697
"2004-03-26",0.883598327636719,88.3598327636719
"2004-03-27",0.783463299274445,78.3463299274445
"2004-03-28",0,0
"2004-03-29",0,0
"2004-03-30",0.0755457282066345,7.55457282066345
"2004-03-31",0,0
"2004-04-01",0,0
"2004-04-02",0.454947888851166,45.4947888851166
"2004-04-03",0.877296507358551,87.7296507358551
"2004-04-04",0.889313995838165,88.9313995838165
"2004-04-05",0.482552409172058,48.2552409172058
"2004-04-06",0.799564301967621,79.9564301967621
"2004-04-07",0.589982330799103,58.9982330799103
"2004-04-08",0.538891851902008,53.8891851902008
"2004-04-09",1,100
"2004-04-10",0.984996020793915,98.4996020793915
"2004-04-11",0.883576035499573,88.3576035499573
"2004-04-12",0.935026824474335,93.5026824474335
"2004-04-13",0.966273248195648,96.6273248195648
"2004-04-14",0.961998224258423,96.1998224258423
"2004-04-15",0.454955577850342,45.4955577850342
"2004-04-16",0.935895323753357,93.5895323753357
"2004-04-17",0.692104339599609,69.2104339599609
"2004-04-18",0.396956741809845,39.6956741809845
"2004-04-19",1,100
"2004-04-20",0.72061687707901,72.061687707901
"2004-04-21",0.969652950763702,96.9652950763702
"2004-04-22",0.864680171012878,86.4680171012878
"2004-04-23",0.701464891433716,70.1464891433716
"2004-04-24",0.576206922531128,57.6206922531128
"2004-04-25",0.708715796470642,70.8715796470642
"2004-04-26",0.0668920874595642,6.68920874595642
"2004-04-27",0.971381187438965,97.1381187438965
"2004-04-28",0.588428854942322,58.8428854942322
"2004-04-29",0.944143116474152,94.4143116474152
"2004-04-30",0.87530905008316,87.530905008316
"2004-05-01",0.94903975725174,94.903975725174
"2004-05-02",0.800924479961395,80.0924479961395
"2004-05-03",0.994546234607697,99.4546234607697
"2004-05-04",0.591685116291046,59.1685116291046
"2004-05-05",0.999799847602844,99.9799847602844
"2004-05-06",1,100
"2004-05-07",0.921859622001648,92.1859622001648
"2004-05-08",1,100
"2004-05-09",0.986409902572632,98.6409902572632
