"date","gpp","le","le_qc","nee","nee_qc"
2005-04-20,6.2431,41.0124,-9999,-4.18673,1
2005-04-21,6.86863,47.4827,-9999,-4.96709,1
2005-04-22,9.27245,91.6905,-9999,-7.50027,1
2005-04-23,8.03087,44.3937,-9999,-6.53061,1
2005-04-24,5.71737,28.6738,-9999,-4.24363,1
2005-04-25,8.40397,54.1121,-9999,-7.20441,1
2005-04-26,10.4987,105.825,-9999,-8.71216,1
2005-04-27,4.75536,18.5503,-9999,-2.4548,1
2005-04-28,12.4328,58.8766,-9999,-8.55064,1
2005-04-29,14.6837,95.5096,-9999,-8.26031,1
2005-04-30,17.4683,109.75,-9999,-8.99739,1
2005-05-01,17.703,125.021,-9999,-7.57108,1
2005-05-02,19.9282,127.441,-9999,-8.46838,1
2005-05-03,12.0406,50.1824,-9999,-2.10858,1
2005-05-04,13.6952,89.1878,-9999,-5.49876,1
2005-05-05,12.4163,81.7365,-9999,-4.92794,1
2005-05-06,6.70137,53.8275,-9999,-0.7179,1
2005-05-07,7.16097,59.429,-9999,-1.50441,1
2005-05-08,14.0316,118.144,-9999,-8.29318,1
2005-05-09,12.6408,102.64,-9999,-7.22989,1
2005-05-10,10.1568,68.0344,-9999,-5.19051,1
2005-05-11,12.7938,124.359,-9999,-7.73307,1
2005-05-12,13.672,114.246,-9999,-7.9003,1
2005-05-13,11.1399,97.3171,-9999,-4.64665,1
2005-05-14,6.82187,42.6019,-9999,-0.985027,1
2005-05-15,14.5339,97.8108,-9999,-7.97318,1
2005-05-16,5.64281,38.8686,-9999,-0.541426,1
2005-05-17,11.9229,111.959,-9999,-6.13477,1
2005-05-18,4.61854,55.6658,-9999,-0.071576,1
2005-05-19,13.0299,107.901,-9999,-7.47934,1
2005-05-20,16.4332,130.605,-9999,-9.15035,1
2005-05-21,11.0824,51.375,-9999,-3.94551,1
2005-05-22,10.3786,85.6858,-9999,-4.04037,1
2005-05-23,6.71737,48.2022,-9999,-1.66007,1
2005-05-24,15.1911,115.67,-9999,-9.308,1
2005-05-25,15.4291,138.469,-9999,-8.17466,1
2005-05-26,17.7893,143.374,-9999,-9.23093,1
2005-05-27,18.9379,154.554,-9999,-9.83312,0.979167
2005-05-28,19.1009,179.822,-9999,-9.49601,1
2005-05-29,16.4878,150.042,-9999,-7.17495,1
2005-05-30,5.56434,62.9941,-9999,1.17615,1
2005-05-31,14.8525,122.918,-9999,-8.80294,1
2005-06-01,13.8617,121.975,-9999,-7.40018,1
2005-06-02,13.5841,121.767,-9999,-6.26998,1
2005-06-03,17.7519,178.429,-9999,-8.99991,1
2005-06-04,12.0576,135.862,-9999,-4.70503,1
2005-06-05,13.4214,119.109,-9999,-6.17381,1
2005-06-06,9.17025,70.9573,-9999,-2.48203,1
2005-06-07,14.786,137.988,-9999,-8.84633,1
2005-06-08,13.6278,128.328,-9999,-7.88002,0.979167
2005-06-09,12.8724,118.394,-9999,-6.91463,0.979167
2005-06-10,10.549,108.008,-9999,-4.2498,1
2005-06-11,13.3462,130.795,-9999,-6.10335,1
2005-06-12,11.4758,87.3879,-9999,-4.15608,1
2005-06-13,9.86896,97.4266,-9999,-2.49312,1
2005-06-14,6.19745,60.7615,-9999,0.534831,1
2005-06-15,12.2165,150.143,-9999,-4.62808,1
2005-06-16,12.2283,144.498,-9999,-4.8916,1
2005-06-17,9.93645,108.045,-9999,-3.26471,1
2005-06-18,9.15035,116.056,-9999,-2.88695,1
2005-06-19,6.93409,122.838,-9999,-1.45406,1
2005-06-20,5.49947,116.222,-9999,-0.647179,1
2005-06-21,5.83459,117.181,-9999,-1.52114,1
2005-06-22,4.45357,96.6518,-9999,-0.658481,1
2005-06-23,3.91652,90.7757,-9999,0.473648,1
2005-06-24,4.82735,105.608,-9999,0.392802,1
2005-06-25,4.34022,71.712,-9999,0.870756,1
2005-06-26,3.94594,76.1251,-9999,2.41147,1
2005-06-27,4.90892,65.7826,-9999,2.4401,1
2005-06-28,5.43985,73.6303,-9999,2.58012,1
2005-06-29,3.47209,54.6943,-9999,3.75235,1
2005-06-30,2.04725,68.3466,-9999,4.37382,1
2005-07-01,1.29679,81.2546,-9999,3.93792,1
2005-07-02,2.64288,30.8667,-9999,3.03382,1
2005-07-03,3.76322,52.4447,-9999,3.03303,1
2005-07-04,1.60271,69.9477,-9999,3.99431,1
2005-07-05,1.7936,49.925,-9999,2.81162,1
2005-07-06,0.022369,46.086,-9999,3.77117,1
2005-07-07,-0.290314,49.2287,-9999,3.93486,1
2005-07-08,0.57441,52.4069,-9999,3.13479,1
2005-07-09,2.01695,67.081,-9999,2.51062,1
2005-07-10,0.606466,35.4071,-9999,3.71174,1
2005-07-11,0.989046,54.779,-9999,3.43333,1
2005-07-12,2.12787,68.9062,-9999,2.98461,0.979167
2005-07-13,2.09341,47.8,-9999,3.40337,1
2005-07-14,2.35241,68.5165,-9999,3.46894,1
2005-07-15,3.15839,54.5569,-9999,3.03743,1
2005-07-16,1.82911,49.9937,-9999,4.11799,1
2005-07-17,3.15853,69.7637,-9999,3.40726,1
2005-07-18,1.79542,50.3201,-9999,3.77805,1
2005-07-19,1.03138,78.5414,-9999,3.78418,1
2005-07-20,-0.417784,137.905,-9999,5.09663,1
2005-07-21,0.193646,112.952,-9999,4.10976,1
2005-07-22,1.10387,84.1495,-9999,3.14861,1
2005-07-23,1.04287,49.7246,-9999,3.49448,1
2005-07-24,0.624005,43.1431,-9999,4.32804,1
2005-07-25,1.22578,56.3689,-9999,4.20571,1
2005-07-26,1.97577,104.062,-9999,4.67079,1
2005-07-27,3.5796,91.6609,-9999,4.45743,1
2005-07-28,4.57358,66.6178,-9999,4.25166,1
2005-07-29,2.23641,96.0482,-9999,5.12054,1
2005-07-30,1.41454,73.0031,-9999,4.28349,1
2005-07-31,1.71405,124.979,-9999,3.90736,1
2005-08-01,2.09959,97.3559,-9999,3.97779,1
2005-08-02,0.355728,47.5049,-9999,4.13108,1
2005-08-03,0.88794,65.571,-9999,3.57019,1
2005-08-04,1.8873,143.483,-9999,2.76795,1
2005-08-05,1.51864,100.71,-9999,3.69939,1
2005-08-06,2.65671,84.1784,-9999,2.89605,1
2005-08-07,2.55995,69.4735,-9999,2.33798,1
2005-08-08,2.58458,80.9454,-9999,2.29651,0.979167
2005-08-09,2.39214,81.3346,-9999,3.2351,1
2005-08-10,3.09066,49.0447,-9999,3.58472,1
2005-08-11,3.27049,39.8263,-9999,3.54077,1
2005-08-12,2.98098,32.3262,-9999,4.16088,1
2005-08-13,2.89288,47.2014,-9999,3.65986,1
2005-08-14,0.261066,23.6205,-9999,4.6904,1
2005-08-15,-0.109448,28.6131,-9999,4.35714,1
2005-08-16,1.35891,86.8025,-9999,3.51633,1
2005-08-17,1.33852,78.4329,-9999,3.90637,1
2005-08-18,1.56558,52.9403,-9999,3.86294,1
2005-08-19,1.34468,104.587,-9999,3.81358,1
2005-08-20,0.609321,62.0157,-9999,3.70593,1
2005-08-21,0.238624,51.2632,-9999,4.03086,1
2005-08-22,1.74435,54.4076,-9999,2.94295,1
2005-08-23,2.41567,83.2143,-9999,2.43911,1
2005-08-24,1.92869,83.1138,-9999,2.95745,1
2005-08-25,1.87061,67.5708,-9999,3.02929,1
2005-08-26,2.71011,85.2019,-9999,2.41098,1
2005-08-27,2.86338,70.9612,-9999,2.46485,1
2005-08-28,4.22195,70.5751,-9999,1.3448,1
2005-08-29,4.4355,70.3674,-9999,1.18058,1
2005-08-30,3.90361,73.7219,-9999,1.96608,1
2005-08-31,5.00781,69.549,-9999,1.11723,1
2005-09-01,5.32256,80.9193,-9999,0.784963,1
2005-09-02,5.14421,72.8729,-9999,0.721726,1
2005-09-03,6.0082,71.738,-9999,-0.258152,1
2005-09-04,4.94027,51.3721,-9999,0.225127,1
2005-09-05,5.25316,60.8291,-9999,0.0976999,1
2005-09-06,5.82951,113.526,-9999,-0.249174,1
2005-09-07,7.41439,97.0707,-9999,-1.66435,1
2005-09-08,7.59011,88.9067,-9999,-1.68832,1
2005-09-09,7.05383,74.8875,-9999,-1.30873,1
2005-09-10,7.2591,73.3464,-9999,-1.55968,1
2005-09-11,5.95874,66.2392,-9999,-0.932967,1
2005-09-12,6.54619,57.6935,-9999,-1.62307,1
2005-09-13,9.29122,79.1937,-9999,-3.87598,1
2005-09-14,8.45857,70.943,-9999,-2.69152,1
