"date","ppfd","ppfd_bigleaf"
2004-05-25,0.00070287792,792.4604
2004-05-26,0.0005685684,641.033
2004-05-27,0.00019491792,219.7604
2004-05-28,0.0004977906,561.2345
2004-05-29,0.00071578296,807.0102
2004-05-30,0.00063039876,710.7437
2004-05-31,0.0002450142,276.2415
2004-06-01,9.641448e-05,108.7026
2004-06-02,0.00021407148,241.3551
2004-06-03,0.00010584336,119.3332
2004-06-04,0.00032456196,365.9277
2004-06-05,0.00027814584,313.5958
2004-06-06,0.00072863904,821.5048
2004-06-07,0.00070033608,789.5946
2004-06-08,0.00067113552,756.6724
2004-06-09,0.00067401192,759.9154
2004-06-10,0.0005923038,667.7935
2004-06-11,0.00019622352,221.2324
2004-06-12,0.00059193252,667.3749
2004-06-13,0.00031598376,356.2562
2004-06-14,0.00061803432,696.8034
2004-06-15,0.000350778,395.485
2004-06-16,0.00030756672,346.7664
2004-06-17,0.00062530488,705.0006
2004-06-18,0.00053286432,600.7784
2004-06-19,0.00026359452,297.1899
2004-06-20,0.00037215516,419.5867
2004-06-21,0.00061631256,694.8622
2004-06-22,0.00038039676,428.8787
2004-06-23,0.00033970488,383.0006
2004-06-24,0.00060489468,681.9891
2004-06-25,0.00053399244,602.0503
2004-06-26,0.00062663496,706.5002
2004-06-27,0.0004424046,498.7895
2004-06-28,0.00045978336,518.3832
2004-06-29,0.0006813906,768.2345
2004-06-30,0.00067128444,756.8403
2004-07-01,0.00023436948,264.2401
2004-07-02,0.0003067752,345.874
2004-07-03,0.00060281388,679.6431
2004-07-04,0.00069651312,785.2844
2004-07-05,0.00036552108,412.1071
2004-07-06,0.0002455854,276.8855
2004-07-07,0.0002962182,333.9715
2004-07-08,0.00025838232,291.3134
2004-07-09,0.00056330724,635.1013
2004-07-10,0.0004609992,519.754
2004-07-11,0.00025375152,286.0924
2004-07-12,0.00029562864,333.3068
2004-07-13,0.00022845348,257.5701
2004-07-14,0.00056989848,642.5326
2004-07-15,0.0004213314,475.0305
2004-07-16,0.00067697604,763.2573
2004-07-17,0.00059431932,670.0659
2004-07-18,0.0004842756,545.997
2004-07-19,0.00055283592,623.2954
2004-07-20,0.00043096632,485.8934
2004-07-21,0.0005896212,664.769
2004-07-22,0.00061049448,688.3026
2004-07-23,0.0004953732,558.509
2004-07-24,0.00029296644,330.3053
2004-07-25,0.00059088192,666.1904
2004-07-26,0.00029376204,331.2023
2004-07-27,0.00046372056,522.8222
2004-07-28,0.00065771844,741.5453
2004-07-29,0.00063267132,713.3059
2004-07-30,0.00059711412,673.2169
2004-07-31,0.00052062024,586.9738
2004-08-01,0.0006010758,677.6835
2004-08-02,0.00056964756,642.2497
2004-08-03,0.00044931816,506.5842
2004-08-04,0.00053878032,607.4484
2004-08-05,0.00039978084,450.7333
2004-08-06,0.00037506216,422.8642
2004-08-07,0.00043765548,493.4351
2004-08-08,0.00053144244,599.1753
2004-08-09,0.0002809386,316.7445
2004-08-10,0.000359958,405.835
2004-08-11,0.00047628288,536.9856
2004-08-12,0.00039104148,440.8801
2004-08-13,0.00024008556,270.6847
2004-08-14,0.00013876896,156.4552
2004-08-15,0.00060454788,681.5981
2004-08-16,0.00032445588,365.8081
2004-08-17,0.00018816144,212.1428
2004-08-18,0.00060827088,685.7956
2004-08-19,0.00011739996,132.3627
2004-08-20,0.00044407128,500.6686
2004-08-21,0.00042014412,473.6919
2004-08-22,0.00048636456,548.3522
2004-08-23,0.000516375,582.1875
2004-08-24,0.00019786368,223.0816
2004-08-25,0.00042552564,479.7593
2004-08-26,0.00015348144,173.0428
2004-08-27,0.000564417,636.3525
2004-08-28,0.000533562,601.565
2004-08-29,0.0004227186,476.5945
2004-08-30,0.0003212898,362.2385
2004-08-31,0.00033047184,372.5908
2004-09-01,0.00035180208,396.6396
2004-09-02,0.000454053,511.9225
2004-09-03,0.00045784536,516.1982
2004-09-04,0.00048670116,548.7317
2004-09-05,0.00051760308,583.5721
2004-09-06,0.00049024668,552.7291
2004-09-07,0.00049042212,552.9269
2004-09-08,0.0005056242,570.0665
2004-09-09,0.00049336992,556.2504
2004-09-10,0.00041964228,473.1261
2004-09-11,0.00037294668,420.4791
2004-09-12,0.00018751476,211.4137
2004-09-13,0.00047656032,537.2984
2004-09-14,0.00016948932,191.0909
2004-09-15,0.00014272452,160.9149
2004-09-16,0.0003174036,357.857
2004-09-17,0.00042847752,483.0874
2004-09-18,0.00039795912,448.6794
2004-09-19,0.00016251048,183.2226
2004-09-20,0.00038207568,430.7716
2004-09-21,0.0002937396,331.177
2004-09-22,0.00034604112,390.1444
2004-09-23,0.0001560294,175.9155
2004-09-24,0.00029803788,336.0231
2004-09-25,0.00015156588,170.8831
2004-09-26,7.688964e-05,86.6893
2004-09-27,0.00017696592,199.5204
2004-09-28,0.0001556418,175.4785
2004-09-29,0.00017371212,195.8519
2004-09-30,0.00032110212,362.0269
2004-10-01,0.00030682008,345.9246
2004-10-02,0.00016638852,187.5949
2004-10-03,0.0003751662,422.9815
2004-10-04,0.00030484944,343.7028
2004-10-05,0.00035071272,395.4114
2004-10-06,0.00011337912,127.8294
2004-10-07,0.00018207204,205.2773
2004-10-08,0.00022289856,251.3072
2004-10-09,0.00021761088,245.3456
2004-10-10,0.0001595076,179.837
2004-10-11,0.0001475226,166.3245
2004-10-12,0.00017690064,199.4468
2004-10-13,8.84544e-05,99.728
2004-10-14,0.00018001572,202.9589
2004-10-15,0.00011020284,124.2483
2004-10-16,0.00019828596,223.5577
2004-10-17,0.00012681456,142.9772
2004-10-18,0.000242352,273.24
2004-10-19,4.797672e-05,54.0914
2004-10-20,8.2773e-05,93.3225
2004-10-21,0.0002181984,246.008
2004-10-22,0.00026434116,298.0317
2004-10-23,0.00019163964,216.0643
2004-10-24,0.00024976944,281.6028
2004-10-25,0.00011595972,130.7389
2004-10-26,4.007376e-05,45.1812
2004-10-27,5.86194e-05,66.0905
2004-10-28,9.524964e-05,107.3893
2004-10-29,8.127768e-05,91.6366
2004-10-30,0.00024914316,280.8967
2004-10-31,0.00010025376,113.0312
2004-11-01,6.170388e-05,69.5681
2004-11-02,5.867448e-05,66.1526
2004-11-03,0.0001205436,135.907
2004-11-04,6.161004e-05,69.4623
2004-11-05,0.0001172694,132.2155
2004-11-06,9.47478e-05,106.8235
2004-11-07,0.00011356272,128.0364
2004-11-08,0.0001227774,138.4255
2004-11-09,0.0001128834,127.2705
2004-11-10,0.00012969504,146.2248
2004-11-11,7.293408e-05,82.2296
2004-11-12,7.054524e-05,79.5363
2004-11-13,0.00012003972,135.3389
2004-11-14,0.00011703276,131.9487
2004-11-15,0.00020637048,232.6726
2004-11-16,0.00020459772,230.6739
2004-11-17,7.336044e-05,82.7103
2004-11-18,6.010248e-05,67.7626
2004-11-19,8.67204e-05,97.773
2004-11-20,5.778912e-05,65.1544
2004-11-21,0.0001097928,123.786
2004-11-22,9.076776e-05,102.3362
2004-11-23,7.531068e-05,84.9091
2004-11-24,0.00016083768,181.3366
2004-11-25,0.00010860756,122.4497
2004-11-26,0.0001102008,124.246
2004-11-27,0.00015809796,178.2477
