"date","PPFD_IN","PPFD_IN_QC","PPFD_DIF","PPFD_DIF_QC"
2004-05-07,271.984021538125,1,-9999,0
2004-05-08,143.680754475,1,-9999,0
2004-05-09,60.66678255,1,-9999,0
2004-05-10,490.862332383333,1,-9999,0
2004-05-11,487.4384005175,1,-9999,0
2004-05-12,614.386572677083,1,-9999,-9999
2004-05-13,184.765384885417,1,-9999,0
2004-05-14,521.210527614958,1,-9999,0
2004-05-15,567.727051614894,0.979166666666667,-9999,0
2004-05-16,461.36058023125,1,-9999,0
2004-05-17,638.769395002128,0.979166666666667,-9999,0
2004-05-18,620.686469340425,0.979166666666667,-9999,0
2004-05-19,572.381672340426,0.979166666666667,-9999,-9999
2004-05-20,596.184493123404,0.979166666666667,-9999,0
2004-05-21,230.655614808333,1,-9999,0
2004-05-22,205.40439151125,1,-9999,0
2004-05-23,598.003687404348,0.958333333333333,-9999,0
2004-05-24,650.439537993478,0.958333333333333,-9999,0
2004-05-25,642.463694273913,0.958333333333333,-9999,0
2004-05-26,523.153643647826,0.958333333333333,-9999,-9999
2004-05-27,189.772911364583,1,-9999,0
2004-05-28,450.091850117021,0.979166666666667,-9999,0
2004-05-29,647.58371335,0.958333333333333,-9999,0
2004-05-30,576.488110256522,0.958333333333333,-9999,0
2004-05-31,233.785490177083,1,-9999,0
2004-06-01,106.066322939583,1,-9999,0
2004-06-02,211.68016948125,1,-9999,-9999
2004-06-03,110.658100604167,1,-9999,0
2004-06-04,308.944150997917,1,-9999,0
2004-06-05,269.295669035417,1,-9999,0
2004-06-06,674.61517926,0.9375,-9999,0
2004-06-07,651.853158253334,0.9375,-9999,0
2004-06-08,628.125130982222,0.9375,-9999,0
2004-06-09,632.240522261111,0.9375,-9999,-9999
2004-06-10,546.496938831111,0.9375,-9999,0
2004-06-11,199.950076660417,1,-9999,0
2004-06-12,561.66773774375,1,-9999,0
2004-06-13,303.423237995833,1,-9999,0
2004-06-14,586.605669420208,1,-9999,0
2004-06-15,330.148071879167,1,-9999,0
2004-06-16,297.948813825,1,-9999,-9999
2004-06-17,585.048441097826,0.958333333333333,-9999,0
2004-06-18,505.498314382609,0.958333333333333,-9999,0
2004-06-19,252.559257164583,1,-9999,0
2004-06-20,329.405234441304,0.958333333333333,-9999,0
2004-06-21,577.775576331915,0.979166666666667,-9999,0
2004-06-22,368.234603783333,1,-9999,0
2004-06-23,335.8145006125,1,-9999,-9999
2004-06-24,578.3228188725,1,-9999,0
2004-06-25,506.3601480125,1,-9999,0
2004-06-26,569.632982613333,0.9375,-9999,0
2004-06-27,404.993391258696,0.958333333333333,-9999,0
2004-06-28,448.370156602128,0.979166666666667,-9999,0
2004-06-29,639.219562067391,0.958333333333333,-9999,0
2004-06-30,621.897235684444,0.9375,-9999,-9999
2004-07-01,227.701258017292,1,-9999,0
2004-07-02,292.4153141,1,-9999,0
2004-07-03,568.166217979167,1,-9999,0
2004-07-04,651.95095104,0.9375,-9999,0
2004-07-05,359.67497403625,1,-9999,0
2004-07-06,238.456287895833,1,-9999,0
2004-07-07,286.121356847917,1,-9999,-9999
2004-07-08,245.015668927234,0.979166666666667,-9999,0
2004-07-09,574.669181027083,1,-9999,0
2004-07-10,461.989505129167,1,-9999,0
2004-07-11,250.943752491667,1,-9999,0
2004-07-12,288.996441497917,1,-9999,0
2004-07-13,221.994538975,1,-9999,0
2004-07-14,574.510120535417,1,-9999,-9999
2004-07-15,433.061969141667,1,-9999,0
2004-07-16,728.189215620833,1,-9999,0
2004-07-17,622.690145054167,1,-9999,0
2004-07-18,496.568804425,1,-9999,0
2004-07-19,572.855850504167,1,-9999,0
2004-07-20,445.230713907917,1,-9999,0
2004-07-21,615.838477116667,1,-9999,-9999
2004-07-22,640.36141592125,1,-9999,0
2004-07-23,505.850116537083,1,-9999,0
2004-07-24,292.518998356021,1,-9999,0
2004-07-25,591.508067760417,1,-9999,0
2004-07-26,292.717898357447,0.979166666666667,-9999,0
2004-07-27,464.517980983333,1,-9999,0
2004-07-28,688.70848915,1,-9999,-9999
2004-07-29,665.428815122917,1,-9999,0
2004-07-30,620.782229635417,1,-9999,0
2004-07-31,527.04469941875,1,-9999,0
2004-08-01,623.867703085417,1,-9999,0
2004-08-02,593.497055141667,1,-9999,0
2004-08-03,456.913453635208,1,-9999,0
2004-08-04,572.99461760625,1,-9999,-9999
2004-08-05,407.975084266042,1,-9999,0
2004-08-06,384.204140404313,1,-9999,0
2004-08-07,453.522036597583,1,-9999,0
2004-08-08,561.394321647917,1,-9999,0
2004-08-09,283.785792372917,1,-9999,0
2004-08-10,364.539886910417,1,-9999,0
2004-08-11,495.901321576875,1,-9999,-9999
2004-08-12,404.659041020833,1,-9999,0
2004-08-13,79.7175379653846,0.541666666666667,-9999,0
2004-08-14,139.160330267917,1,-9999,0
2004-08-15,621.383043293333,1,-9999,0
2004-08-16,322.747374772917,1,-9999,0
2004-08-17,190.78511916875,1,-9999,0
2004-08-18,635.8396328125,1,-9999,-9999
2004-08-19,123.1927611,1,-9999,0
2004-08-20,447.453589902083,1,-9999,0
2004-08-21,427.465821220625,1,-9999,0
2004-08-22,482.743164455833,1,-9999,0
2004-08-23,529.847782854167,1,-9999,0
2004-08-24,204.623970364583,1,-9999,0
2004-08-25,427.48060185125,1,-9999,-9999
2004-08-26,156.216426509167,1,-9999,0
2004-08-27,571.310078254167,1,-9999,0
2004-08-28,545.793714283333,1,-9999,0
2004-08-29,430.50719276875,1,-9999,0
2004-08-30,325.68755807875,1,-9999,0
2004-08-31,402.617697433333,0.5625,-9999,0
2004-09-01,-9999,-9999,-9999,-9999
2004-09-02,-9999,0,-9999,0
2004-09-03,474.3547184875,1,-9999,0
2004-09-04,502.9612296875,1,-9999,0
2004-09-05,537.452191354167,1,-9999,0
