date,yield_kgha,c,n
2022-08-08,2345.0,6.733580541508939,104.14957325849326
2022-09-19,1112.25,4.005527509301455,49.58980292784484
2022-12-13,435.16666666666674,1.415302339370424,15.910189160749127
2023-02-07,398.6666666666667,1.3300603668274964,16.820304812215007
2023-03-17,656.1666666666666,2.670416714920272,28.3249556996564
2023-04-14,1914.8333333333333,6.201806363667593,84.28073031441099
2023-05-19,7932.083333333333,13.219719273815882,344.15825515127386
2023-06-28,16842.666666666668,17.78386293293951,745.6849617061525
2023-07-11,15755.666666666666,16.29234475729474,685.575454454839
2023-09-05,911.5833333333334,4.046196653841816,39.25173622311016
