date,fharv
2004-08-04,64.36290322580646
2004-08-04,32.516129032258064
2005-07-14,44.78709677419354
2005-07-15,10.948387096774194
2007-07-15,49.475806451612904
2007-07-16,35.483870967741936
2008-07-16,15.682382133995038
2009-07-21,55.483870967741936
2009-07-26,29.516129032258064
2010-07-19,37.83096311712336
2011-08-02,62.95161290322581
2011-08-03,31.56451612903226
2012-07-09,56.12903225806451
2012-07-10,13.720969135974572
2013-07-28,19.45409429280397
2014-07-24,60.322580645161295
2014-07-26,35.483870967741936
2015-07-04,52.31612903225806
2015-07-06,10.206451612903226
2016-07-25,3.584229390681003
2017-07-19,52.82258064516129
2017-07-29,37.45967741935484
2018-07-12,20.287841191066995
2019-07-19,51.37096774193548
2019-07-23,40.79032258064516
2020-07-01,31.73548387096774
2020-07-04,6.993548387096774
2021-06-01,70.0
2021-07-21,87.09032258064516
2021-09-04,48.38
2021-10-20,36.12
2022-05-15,77.30046083
2022-06-25,46.38064516
2022-09-08,38.64976959
2022-09-21,19.32534562
2023-07-15,37.19354839
2023-07-15,37.46129032
