TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198606,16.158,14.573,2.218,16.95,3.34,231.261,351.147,5.528,96.289,3.529,1.714
198607,17.626,15.71,2.316,18.623,3.566,234.401,353.676,6.563,96.465,2.684,1.623
198608,17.123,15.622,2.098,18.091,3.253,187.139,359.995,5.03,96.266,5.404,1.464
198609,13.742,12.405,2.404,14.867,3.605,157.182,339.977,3.604,96.638,1.448,1.585
198610,10.373,9.485,2.19,11.358,2.954,100.081,331.368,2.147,96.628,2.009,1.688
198611,4.572,3.972,2.049,5.454,2.531,61.546,305.606,1.021,96.824,1.825,1.359
198612,1.117,0.741,1.495,1.743,1.405,41.308,300.421,0.582,96.608,2.89,2.218
198701,-4.237,-4.506,1.559,-3.814,1.358,50.132,277.163,0.273,96.157,1.631,1.972
198702,0.931,0.507,1.277,1.481,1.572,67.617,303.232,0.482,95.893,2.387,1.51
198703,1.828,1.097,1.773,2.534,2.252,133.132,288.027,1.587,96.125,2.735,2.393
198704,9.645,8.285,2.598,10.647,3.479,207.795,312.979,3.981,96.304,2.962,1.633
198705,9.704,8.331,2.011,10.459,2.817,200.619,325.612,3.053,96.11,5.249,1.984
198706,14.263,12.993,1.886,14.897,2.597,184.883,350.633,3.579,96.255,5.626,1.81
198707,17.994,16.245,1.61,18.896,2.796,207.062,367.32,4.535,96.28,5.106,1.551
198708,17.095,15.575,2.216,18.084,3.113,189.416,356.155,4.829,96.33,3.472,1.683
198709,17.405,16.313,1.203,18.338,2.901,160.559,354.345,5.46,96.494,3.446,1.603
198710,9.857,9.131,1.765,10.664,2.273,88.772,333.084,1.385,96.16,2.621,1.385
198711,4.346,3.811,1.509,5.121,1.702,50.97,312.488,0.688,96.183,2.432,1.826
198712,1.781,1.336,1.588,2.522,1.516,42.546,300.353,0.416,96.569,1.194,1.48
198801,3.305,2.899,1.369,3.96,1.488,45.784,302.955,0.816,95.86,2.778,1.904
198802,1.737,1.071,1.577,2.589,1.814,76.35,290.753,1.168,96.03,3.362,2.359
198803,3.394,2.861,1.415,3.911,1.779,106.115,311.282,1.143,95.913,5.768,2.776
198804,9.268,8.157,2.298,10.072,3.331,192.331,316.118,3.18,95.981,2.299,1.595
198805,13.852,12.282,1.645,14.716,2.808,204.832,342.667,3.747,95.906,4.22,1.559
198806,15.373,13.7,1.897,16.209,3.09,224.131,348.073,4.442,96.105,3.667,1.402
198807,17.867,16.176,2.217,18.752,3.273,236.761,357.143,5.926,96.334,4.033,1.594
198808,18.945,18.305,1.816,19.359,2.898,202.567,362.793,6.559,96.247,5.929,1.517
198809,13.717,12.586,1.964,14.692,2.886,136.322,346.926,3.185,96.557,2.588,1.915
198810,10.507,9.851,1.887,11.277,2.315,89.035,335.957,1.43,96.392,4.947,1.641
